,Id,Ruolo,Nome,Squadra,Partite giocate,Media voto,Media Fantavoto,Goal fatti,Goal subiti,Rigori parati,Rigori calciati,Rigori segnati,Rigori sbagliati,Assist,Assist da fermo,Ammoniti,Espulsioni,Autogoal
190,581,D,FARAONI,Verona,36,6.1,6.51,5,0,0,0,0,0,2,1,6,0,0
200,630,D,SALA,SPAL,16,5.57,5.54,0,0,0,0,0,0,0,0,1,0,0
206,640,D,CHIRICHES,Sassuolo,9,5.61,5.61,0,0,0,0,0,0,0,0,0,0,0
215,662,D,ALEX SANDRO,Juventus,29,5.97,6.07,1,0,0,0,0,0,2,0,4,0,0
220,695,D,TOLOI,Atalanta,33,6.18,6.35,2,0,0,0,0,0,4,0,11,0,0
225,708,D,FELIPE,SPAL,15,5.46,5.32,0,0,0,0,0,0,0,0,5,0,0
230,770,D,PEZZELLA GIU.,Parma,23,5.71,5.66,0,0,0,0,0,0,0,0,2,0,0
233,780,D,CIONEK,SPAL,28,5.63,5.43,0,0,0,0,0,0,0,0,11,0,0
235,787,D,DJIMSITI,Atalanta,34,6.07,6.21,2,0,0,0,0,0,1,0,5,0,0
237,790,D,SAMIR,Udinese,21,5.68,5.76,1,0,0,0,0,0,0,0,3,0,0
238,791,D,SABELLI,Brescia,36,5.89,5.85,0,0,0,0,0,0,3,0,5,0,1
239,798,D,SKRINIAR,Inter,32,6.14,5.94,0,0,0,0,0,0,0,0,7,1,1
241,805,D,FIAMOZZI,Lecce,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
244,824,D,ADJAPONG,Verona,5,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
248,1847,D,CALDARA,Atalanta,14,5.77,5.81,0,0,0,0,0,0,1,0,1,0,0
250,1852,D,SPINAZZOLA,Roma,24,6.25,6.43,1,0,0,0,0,0,2,0,2,0,0
254,1864,D,BRUNO ALVES,Parma,33,5.97,5.91,0,0,0,0,0,0,0,0,4,0,0
255,1866,D,CEPPITELLI,Cagliari,16,6.03,6.13,2,0,0,0,0,0,0,0,5,0,1
256,1868,D,MURRU,Sampdoria,28,5.54,5.35,0,0,0,0,0,0,0,0,4,1,1
257,1869,D,PISACANE,Cagliari,30,5.74,5.71,1,0,0,0,0,0,0,0,6,1,0
263,1876,D,PAJAC,Genoa,11,5.65,5.6,0,0,0,0,0,0,0,0,1,0,0
265,1891,D,CECCHERINI,Fiorentina,15,5.85,5.7,0,0,0,0,0,0,0,0,3,0,0
266,1895,D,FERRARI G.,Sassuolo,23,5.91,5.84,0,0,0,0,0,0,1,0,5,0,0
267,1896,D,MARTELLA,Brescia,24,5.58,5.5,0,0,0,0,0,0,0,0,3,0,0
281,1979,D,BARRECA,Genoa,18,5.68,5.74,0,0,0,0,0,0,1,0,0,0,0
284,1984,D,ANGELLA,Udinese,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
290,1999,D,LUKAKU J.,Lazio,13,6.09,6.18,0,0,0,0,0,0,2,0,2,0,0
293,2006,D,LIROLA,Fiorentina,35,5.83,5.83,0,0,0,0,0,0,2,0,4,0,0
294,2007,D,WALLACE,Lazio,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
299,2016,D,FAZIO,Roma,16,5.7,5.77,1,0,0,0,0,0,0,0,2,1,0
304,2062,D,BASTOS,Lazio,16,5.82,5.75,1,0,0,0,0,0,0,0,4,0,1
312,2083,D,BIRASCHI,Genoa,24,5.65,5.46,0,0,0,0,0,0,0,0,3,1,1
314,2087,D,OLIVERA M,Fiorentina,1,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0
318,2104,D,BERESZYNSKI,Sampdoria,28,5.5,5.25,0,0,0,0,0,0,0,0,10,0,1
321,2120,D,BASTONI,Inter,25,5.98,6.04,2,0,0,0,0,0,0,0,7,1,0
323,2129,D,SIMIC L,Sampdoria,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
324,2130,D,HATEBOER,Atalanta,32,5.88,5.85,0,0,0,0,0,0,4,0,10,0,0
326,2141,D,DEPAOLI,Sampdoria,29,5.85,5.78,0,0,0,0,0,0,1,0,7,0,0
331,2160,D,GOSENS,Atalanta,34,6.39,7.38,9,0,0,0,0,0,7,0,3,0,0
334,2164,D,MILENKOVIC,Fiorentina,37,6.18,6.46,5,0,0,0,0,0,0,0,9,0,0
335,2165,D,VITOR HUGO,Fiorentina,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
338,2168,D,MUSACCHIO,Milan,18,5.72,5.56,0,0,0,0,0,0,0,0,4,1,0
339,2169,D,RODRIGUEZ R.,Milan,5,5.8,5.8,0,0,0,0,0,0,0,0,0,0,0
340,2171,D,LYANCO,Torino,17,5.62,5.34,0,0,0,0,0,0,0,0,5,0,1
343,2174,D,VENUTI,Fiorentina,16,5.81,5.73,0,0,0,0,0,0,1,0,4,0,0
347,2180,D,KARSDORP,Roma,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
348,2181,D,PALOMINO,Atalanta,30,5.97,6.05,2,0,0,0,0,0,1,0,5,0,1
349,2184,D,GRAVILLON,Sassuolo,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
353,2192,D,BONIFAZI,SPAL,17,5.56,5.85,2,0,0,0,0,0,0,0,2,0,0
357,2197,D,CASTAGNE,Atalanta,27,6.08,6.18,1,0,0,0,0,0,1,0,4,0,0
361,2208,D,JAROSZYNSKI,Genoa,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
365,2212,D,VAISANEN,SPAL,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
367,2214,D,KOLAROV,Roma,32,6.02,6.52,5,0,0,4,2,2,2,1,6,0,0
369,2241,D,LUCIONI,Lecce,36,5.65,5.71,3,0,0,0,0,0,0,0,8,1,1
373,2261,D,VICARI,SPAL,34,5.66,5.49,0,0,0,0,0,0,0,0,4,0,2
378,2279,D,ROMAGNA,Sassuolo,18,5.92,5.83,0,0,0,0,0,0,0,0,3,0,0
379,2280,D,NUYTINCK,Udinese,26,6.15,6.12,0,0,0,0,0,0,0,0,2,0,0
382,2285,D,BANI,Bologna,27,5.96,6.19,4,0,0,0,0,0,0,0,10,1,0
384,2288,D,N'KOULOU,Torino,31,5.77,5.79,1,0,0,0,0,0,0,0,3,1,0
385,2289,D,DALBERT,Fiorentina,31,5.85,5.82,0,0,0,0,0,0,4,0,8,1,0
389,2296,D,MANCINI,Roma,32,6.03,5.88,1,0,0,0,0,0,0,0,14,1,0
394,2309,D,PEZZELLA GER.,Fiorentina,33,6.06,6.16,3,0,0,0,0,0,0,0,12,0,0
395,2310,D,CANCELO,Juventus,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
