,Id,Ruolo,Nome,Squadra,Partite giocate,Media voto,Media Fantavoto,Goal fatti,Goal subiti,Rigori parati,Rigori calciati,Rigori segnati,Rigori sbagliati,Assist,Assist da fermo,Ammoniti,Espulsioni,Autogoal
566,4390,C,ANDERSON D.,Lazio,5,5.83,5.67,0,0,0,0,0,0,0,0,1,0,0
569,4393,C,SCHOUTEN,Bologna,19,5.78,5.56,0,0,0,0,0,0,0,0,6,1,0
573,4400,C,SHAKHOV,Lecce,24,5.74,5.9,1,0,0,0,0,0,2,0,3,0,0
576,4404,C,THORSBY,Sampdoria,24,5.74,5.63,1,0,0,0,0,0,1,0,7,1,1
577,4405,C,MARONI,Sampdoria,5,5.5,5.0,0,0,0,1,0,1,0,1,0,0,0
582,4411,C,AGOUME,Inter,3,6.0,5.75,0,0,0,0,0,0,0,0,1,0,0
591,4423,C,HERNANI,Parma,32,5.98,5.95,0,0,0,0,0,0,2,2,10,0,0
592,4424,C,JONY,Lazio,24,5.76,5.71,0,0,0,0,0,0,1,0,4,0,0
595,4427,C,MALINOVSKYI,Atalanta,34,6.27,6.91,8,0,0,1,0,1,2,1,5,1,0
601,4435,C,COLLEY E.,Atalanta,5,6.0,6.25,0,0,0,0,0,0,1,0,1,0,0
609,4445,C,BISOLI,Brescia,25,5.88,5.92,1,0,0,0,0,0,1,0,6,0,0
610,4447,C,NDOJ,Brescia,18,5.63,5.57,0,0,0,0,0,0,0,0,2,0,0
611,4448,C,SPALEK,Brescia,25,5.52,5.71,2,0,0,0,0,0,1,0,5,0,0
612,4449,C,TONALI,Brescia,35,6.04,6.2,1,0,0,0,0,0,2,5,9,0,0
613,4450,C,TREMOLADA,Brescia,1,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
614,4451,C,VIVIANI M.,Brescia,8,5.6,5.6,0,0,0,0,0,0,0,0,0,0,0
619,4456,C,MELI,Fiorentina,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
621,4459,C,ROVELLA,Genoa,2,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0
622,4460,C,SCHAFER,Genoa,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
624,4462,C,POMPETTI,Inter,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
627,4465,C,FAGIOLI,Juventus,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
636,4474,C,HAYE,Lecce,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
637,4475,C,MAJER,Lecce,27,5.94,5.96,1,0,0,0,0,0,1,0,7,0,0
638,4476,C,TABANELLI,Lecce,13,5.81,5.88,1,0,0,0,0,0,0,0,4,0,0
640,4479,C,ELMAS,Napoli,26,5.97,6.03,1,0,0,0,0,0,1,0,7,0,0
646,4486,C,STREFEZZA,SPAL,32,5.91,5.92,1,0,0,0,0,0,2,0,7,1,0
650,4490,C,DE ANGELIS,Torino,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
657,4498,C,HENDERSON L.,Verona,4,6.0,5.83,0,0,0,0,0,0,0,0,1,0,0
658,4499,C,LUCAS FELIPPE,Verona,2,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0
660,4501,C,OBIANG,Sassuolo,25,5.81,5.65,1,0,0,0,0,0,0,0,10,0,1
664,4506,C,LAKTI,Fiorentina,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
670,4512,C,SCHONE,Genoa,32,5.95,6.03,2,0,0,1,0,1,1,1,5,0,0
671,4513,C,ZMRHAL,Brescia,21,5.74,6.09,2,0,0,0,0,0,0,0,0,0,0
672,4514,C,NANDEZ,Cagliari,35,6.27,6.33,2,0,0,0,0,0,3,0,14,0,0
